Run_ID,Processors,Cores,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB,Level,AODtype,Algo
4,1,1,7000,0.0006281407035175,0.1181115648095029,22.49,17.04,7.97,0.28,5,Rntuple,ZSTD
5,1,1,7000,0.00062893081761,0.1181913348867051,22.37,16.53,7.6,0.28,5,Rntuple,ZSTD
1,1,1,7000,0.0005827505827505,0.1120053762580603,23.43,18.13,8.49,0.28,9,Rntuple,ZSTD
2,1,1,7000,0.0005875440658049,0.1128649973396107,23.29,17.73,8.51,0.28,9,Rntuple,ZSTD
3,1,1,7000,0.0005824111822947,0.1144857138184256,23.3,18.17,8.43,0.28,9,Rntuple,ZSTD
4,1,1,7000,0.0005834305717619,0.1130618771501946,23.44,18.17,8.52,0.28,9,Rntuple,ZSTD
5,1,1,7000,0.0005892751915144,0.1152263374485596,23.17,17.55,8.18,0.28,9,Rntuple,ZSTD
1,1,4,28000,0.0022953758505802,0.322432058959005,43.35,33.58,17.6,1.13,1,Rntuple,ZSTD
2,1,4,28000,0.0024666691333358,0.324547535254596,43.32,33.95,17.55,1.13,1,Rntuple,ZSTD
3,1,4,28000,0.0022411863944297,0.3206780049246979,43.42,34.4,17.87,1.13,1,Rntuple,ZSTD
4,1,4,28000,0.0022766124819344,0.3268736866682232,43.36,33.63,17.95,1.13,1,Rntuple,ZSTD
5,1,4,28000,0.0022873576354734,0.3225732125987881,43.58,33.98,18.1,1.13,1,Rntuple,ZSTD
1,1,4,28000,0.0023638985414746,0.3436341768734199,43.79,33.55,18.04,1.13,5,Rntuple,ZSTD
2,1,4,28000,0.0022811508666825,0.3322535094276933,43.27,33.63,17.95,1.13,5,Rntuple,ZSTD
3,1,4,28000,0.0022871752772689,0.3341687552213868,43.61,32.26,17.84,1.13,5,Rntuple,ZSTD
4,1,4,28000,0.0023697019388901,0.3453123843820141,43.8,32.26,17.75,1.13,5,Rntuple,ZSTD
5,1,4,28000,0.0022804380037273,0.3314393939393939,43.65,32.62,17.56,1.13,5,Rntuple,ZSTD
1,1,4,28000,0.0022211927170263,0.3246866194324941,45.7,36.13,19.04,1.13,9,Rntuple,ZSTD
2,1,4,28000,0.0021428274056604,0.3162733957596774,45.75,36.16,19.02,1.13,9,Rntuple,ZSTD
3,1,4,28000,0.0021249333302167,0.3158666591460319,45.44,36.34,18.59,1.13,9,Rntuple,ZSTD
4,1,4,28000,0.00221093592076,0.3293265272517701,45.6,35.27,18.53,1.13,9,Rntuple,ZSTD
5,1,4,28000,0.0022191193298132,0.326028737104399,45.7,35.1,18.76,1.13,9,Rntuple,ZSTD
1,1,8,56000,0.0044456108880631,0.4946122593181417,72.01,54.76,32.68,2.27,1,Rntuple,ZSTD
2,1,8,56000,0.0044538399258117,0.4877029192503309,72.22,58.11,32.43,2.27,1,Rntuple,ZSTD
3,1,8,56000,0.0044911167715222,0.4901832059732325,71.37,55.46,30.97,2.27,1,Rntuple,ZSTD
4,1,8,56000,0.0045126826528449,0.4886689878443589,72.01,57.02,31.98,2.27,1,Rntuple,ZSTD
5,1,8,56000,0.0044928665639337,0.4897790237153289,72.21,57.92,31.78,2.27,1,Rntuple,ZSTD
